mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__max_depth,param_model__max_features,param_model__min_samples_leaf,param_model__min_samples_split,param_model__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
14.266894817352295,0.06250014802518059,0.832591962814331,0.055537690527977315,15,sqrt,1,5,500,"{'model__max_depth': 15, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 5, 'model__n_estimators': 500}",-0.021332962351571918,-0.021070252744292174,-0.021154712952492914,-0.02095686086346142,-0.02098500290483203,-0.02109995836333009,0.00013554556376405374,1,-0.015258617895585243,-0.015317823620891693,-0.015330443379190612,-0.015354236118306686,-0.01530313666069564,-0.015312851534933974,3.188273759427978e-05
8.624791145324707,0.4341252137510691,0.5050017833709717,0.03272437972435203,15,sqrt,1,5,300,"{'model__max_depth': 15, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 5, 'model__n_estimators': 300}",-0.02132601314712271,-0.021071228653331893,-0.021158544172018567,-0.020946738276603257,-0.021004975191674755,-0.021101499888150237,0.00013254793462911561,2,-0.015278111434549943,-0.01534080817682571,-0.015332234400508078,-0.015386237790921973,-0.015314069244482453,-0.01533029220945763,3.529952867588693e-05
16.688891649246216,0.41172458989373273,0.95346040725708,0.05765675721359532,15,sqrt,1,2,500,"{'model__max_depth': 15, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 500}",-0.02137792115849308,-0.02109909852547577,-0.02118647521619853,-0.021006378939250534,-0.021035647949649797,-0.021141104357813544,0.00013354938731034905,3,-0.013268770301679188,-0.013315458421927898,-0.013338753465843955,-0.013336568252865425,-0.01329749175431442,-0.013311408439326178,2.611074091396886e-05
10.162746286392212,0.09060638760468331,0.5463752269744873,0.005845712602522284,15,sqrt,1,2,300,"{'model__max_depth': 15, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 300}",-0.021395178455732036,-0.021127775275804707,-0.021209240067575123,-0.021005253333084,-0.021070852528967003,-0.021161659932232575,0.00013464913574388638,4,-0.013282159179062222,-0.013319152615179911,-0.013357883410855014,-0.013369770166257098,-0.013313331163334257,-0.013328459306937702,3.172236457356395e-05
4.3426271915435795,0.4794121445898417,0.2517996788024902,0.0035627745126186046,15,sqrt,1,5,150,"{'model__max_depth': 15, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 5, 'model__n_estimators': 150}",-0.02139347831989619,-0.02115135708691931,-0.021223172085271937,-0.02101257417252978,-0.021078262809996407,-0.021171768894922723,0.0001313775829904967,5,-0.015325132734743785,-0.015378428433278772,-0.015381415063631025,-0.015421781037489951,-0.015354551384884483,-0.015372261730805603,3.196489348690107e-05
4.799316930770874,0.262405647077904,0.2968409061431885,0.025634769334767986,15,sqrt,1,2,150,"{'model__max_depth': 15, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 150}",-0.021411520799333943,-0.02121479566051821,-0.021253874410847473,-0.021072046131408194,-0.0211467538637371,-0.021219798173168984,0.00011411390579205814,6,-0.013334201633268076,-0.013351888945775232,-0.013399765329790824,-0.013365951207557951,-0.013356562717725074,-0.013361673966823431,2.1660320109594816e-05
35.69072146415711,0.08532033208490507,0.7937466621398925,0.00788647583055558,15,1.0,3,2,500,"{'model__max_depth': 15, 'model__max_features': 1.0, 'model__min_samples_leaf': 3, 'model__min_samples_split': 2, 'model__n_estimators': 500}",-0.021597499180178253,-0.021337418792182507,-0.021368878584177006,-0.02111741527388972,-0.021526965180992938,-0.021389635402284085,0.0001669299472546095,7,-0.015187653426300638,-0.015179952803107914,-0.015191338615828828,-0.015234376094912983,-0.015169488150535976,-0.015192561818137268,2.2205421289274166e-05
35.688725280761716,0.04373768429343372,0.7923636913299561,0.005174285487522838,15,1.0,3,5,500,"{'model__max_depth': 15, 'model__max_features': 1.0, 'model__min_samples_leaf': 3, 'model__min_samples_split': 5, 'model__n_estimators': 500}",-0.021597499180178253,-0.021337418792182507,-0.021368878584177006,-0.02111741527388972,-0.021526965180992938,-0.021389635402284085,0.0001669299472546095,7,-0.015187653426300638,-0.015179952803107914,-0.015191338615828828,-0.015234376094912983,-0.015169488150535976,-0.015192561818137268,2.2205421289274166e-05
21.34931011199951,0.326905767626957,0.5042815208435059,0.05218286814156728,15,1.0,3,2,300,"{'model__max_depth': 15, 'model__max_features': 1.0, 'model__min_samples_leaf': 3, 'model__min_samples_split': 2, 'model__n_estimators': 300}",-0.02161031378321451,-0.021344594705936817,-0.021368010970207373,-0.02112173361494185,-0.021546589973775405,-0.02139824860961519,0.00017159859945273747,9,-0.015192133311303405,-0.015187912724756314,-0.015198741223938673,-0.015240384086000452,-0.015178275068683227,-0.015199489282936416,2.149936935937232e-05
21.191663837432863,0.40720186690229043,0.4965980529785156,0.032252430533300736,15,1.0,3,5,300,"{'model__max_depth': 15, 'model__max_features': 1.0, 'model__min_samples_leaf': 3, 'model__min_samples_split': 5, 'model__n_estimators': 300}",-0.02161031378321451,-0.021344594705936817,-0.021368010970207373,-0.02112173361494185,-0.021546589973775405,-0.02139824860961519,0.00017159859945273747,9,-0.015192133311303405,-0.015187912724756314,-0.015198741223938673,-0.015240384086000452,-0.015178275068683227,-0.015199489282936416,2.149936935937232e-05
16.777495765686034,0.43857548089065407,0.9671841621398926,0.06351220394550237,,sqrt,1,5,500,"{'model__max_depth': None, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 5, 'model__n_estimators': 500}",-0.021571104734737473,-0.02135627072602753,-0.02150662411239434,-0.021300707687470388,-0.021322083132641674,-0.02141135807865428,0.00010755719668013836,11,-0.013353744496729093,-0.013421060981179032,-0.013412702872427412,-0.013441580121699803,-0.01338708988710854,-0.013403235671828776,3.0291018977573353e-05
10.518259620666504,0.32880862576787695,0.26761822700500487,0.0315040042954002,15,1.0,3,2,150,"{'model__max_depth': 15, 'model__max_features': 1.0, 'model__min_samples_leaf': 3, 'model__min_samples_split': 2, 'model__n_estimators': 150}",-0.021593346261035203,-0.021365298138932048,-0.021381870328611444,-0.02116141518415045,-0.021573398973596326,-0.021415065777265093,0.00015796880133605153,12,-0.015207255793278593,-0.01520560038070001,-0.015214688848269233,-0.015257086938620334,-0.015189589138092947,-0.015214844219792223,2.2650930947992406e-05
